date,index,nav,outstanding
"Dec 13, 2017",5187.68,268.48,532150000.00
"Dec 12, 2017",5189.96,268.60,532150000.00
"Dec 11, 2017",5181.75,268.17,531450000.00
"Dec 08, 2017",5165.19,267.31,529000000.00
"Dec 07, 2017",5136.37,265.82,529000000.00
"Dec 06, 2017",5120.46,265.00,528650000.00
"Dec 05, 2017",5120.92,265.02,528300000.00
"Dec 04, 2017",5139.91,266.01,526250000.00
"Dec 01, 2017",5145.21,266.28,525750000.00
"Nov 30, 2017",5155.44,266.80,525750000.00
"Nov 29, 2017",5111.68,264.55,524350000.00
"Nov 28, 2017",5112.91,264.61,524350000.00
"Nov 27, 2017",5062.85,262.02,524350000.00
"Nov 24, 2017",5064.23,262.10,524050000.00
"Nov 22, 2017",5053.60,261.55,524150000.00
"Nov 21, 2017",5056.95,261.72,522900000.00
"Nov 20, 2017",5024.01,260.02,521400000.00
"Nov 17, 2017",5017.45,259.68,520800000.00
"Nov 16, 2017",5030.48,260.35,520600000.00
"Nov 15, 2017",4987.96,258.15,519550000.00
"Nov 14, 2017",5014.53,259.52,519150000.00
"Nov 13, 2017",5025.36,260.09,518850000.00
"Nov 10, 2017",5020.31,259.82,519000000.00
"Nov 09, 2017",5023.01,259.97,518850000.00
"Nov 08, 2017",5040.74,260.88,517350000.00
"Nov 07, 2017",5033.38,260.50,515650000.00
"Nov 06, 2017",5034.30,260.55,515650000.00
"Nov 03, 2017",5027.49,260.20,516050000.00
"Nov 02, 2017",5011.48,259.37,515300000.00
"Nov 01, 2017",5009.99,259.29,515350000.00
"Oct 31, 2017",5002.03,258.88,515350000.00
"Oct 30, 2017",4997.15,258.63,514250000.00
"Oct 27, 2017",5012.75,259.44,514350000.00
"Oct 26, 2017",4972.60,257.36,514350000.00
"Oct 25, 2017",4966.29,257.03,508900000.00
"Oct 24, 2017",4989.56,258.24,508700000.00
"Oct 23, 2017",4981.37,257.81,508500000.00
"Oct 20, 2017",5001.11,258.84,509400000.00
"Oct 19, 2017",4975.32,257.50,508600000.00
"Oct 18, 2017",4973.28,257.40,508500000.00
"Oct 17, 2017",4969.38,257.20,508450000.00
"Oct 16, 2017",4966.05,257.02,508000000.00
"Oct 13, 2017",4957.27,256.57,508000000.00
"Oct 12, 2017",4952.85,256.34,507300000.00
"Oct 11, 2017",4960.79,256.75,506650000.00
"Oct 10, 2017",4951.77,256.28,506600000.00
"Oct 09, 2017",4940.16,255.68,506000000.00
"Oct 06, 2017",4949.09,256.15,503650000.00
"Oct 05, 2017",4952.85,256.34,502400000.00
"Oct 04, 2017",4924.19,254.86,502200000.00
"Oct 03, 2017",4917.73,254.52,501750000.00
"Oct 02, 2017",4906.92,253.96,501750000.00
"Sep 29, 2017",4887.97,252.98,500000000.00
"Sep 28, 2017",4869.81,252.05,500000000.00
"Sep 27, 2017",4862.93,251.69,498200000.00
"Sep 26, 2017",4843.14,250.67,498000000.00
"Sep 25, 2017",4842.41,251.91,498450000.00
"Sep 22, 2017",4853.20,252.47,498650000.00
"Sep 21, 2017",4849.95,252.31,496850000.00
"Sep 20, 2017",4864.61,253.07,503850000.00
"Sep 19, 2017",4861.52,252.91,503850000.00
"Sep 18, 2017",4856.08,252.63,503850000.00
"Sep 15, 2017",4848.84,252.25,503200000.00
"Sep 14, 2017",4839.29,251.75,503200000.00
"Sep 13, 2017",4843.04,251.95,503000000.00
"Sep 12, 2017",4839.31,251.76,503000000.00
"Sep 11, 2017",4822.80,250.90,503500000.00
"Sep 08, 2017",4771.02,248.21,502850000.00
"Sep 07, 2017",4777.93,248.57,502850000.00
"Sep 06, 2017",4777.69,248.55,502850000.00
"Sep 05, 2017",4762.75,247.78,500100000.00
"Sep 01, 2017",4798.99,249.66,500000000.00
"Aug 31, 2017",4789.18,249.14,499300000.00
"Aug 30, 2017",4761.72,247.71,494050000.00
"Aug 29, 2017",4738.62,246.51,491550000.00
"Aug 28, 2017",4733.97,246.27,491550000.00
"Aug 25, 2017",4731.46,246.14,491500000.00
"Aug 24, 2017",4723.03,245.70,491500000.00
"Aug 23, 2017",4732.76,246.20,491500000.00
"Aug 22, 2017",4748.73,247.03,491700000.00
"Aug 21, 2017",4701.82,244.59,492300000.00
"Aug 18, 2017",4696.22,244.31,492450000.00
"Aug 17, 2017",4704.73,244.75,492450000.00
"Aug 16, 2017",4778.28,248.57,492450000.00
"Aug 15, 2017",4770.15,248.15,492900000.00
"Aug 14, 2017",4771.43,248.22,492450000.00
"Aug 11, 2017",4723.73,245.74,492400000.00
"Aug 10, 2017",4717.40,245.41,492600000.00
"Aug 09, 2017",4784.94,248.92,492550000.00
"Aug 08, 2017",4786.12,248.99,492550000.00
"Aug 07, 2017",4797.13,249.56,492550000.00
"Aug 04, 2017",4789.11,249.14,492050000.00
"Aug 03, 2017",4779.99,248.67,492050000.00
